region,year,age_group,gender,ethnic_group,population,literacy_rate,employed,employment_rate
East,2018,25-44,Female,Group B,1188,58.0,16719,1407.32
South,2013,25-44,Male,Group C,25865,63.69,2745,10.61
West,2014,15-24,Male,Group A,30163,89.14,14647,48.56
South,2016,45-64,Male,Group D,39574,93.53,30159,76.21
Central,2014,15-24,Female,Group B,38340,67.16,11877,30.98
North,2013,0-14,Male,Group C,18239,63.19,8760,48.03
North,2024,45-64,Male,Group C,11409,56.15,3862,33.85
West,2011,25-44,Female,Group B,13213,95.75,13255,100.32
North,2024,65+,Female,Group A,13114,84.41,39697,302.71
North,2011,65+,Female,Group A,42589,96.15,12998,30.52
West,2022,0-14,Female,Group B,33061,92.15,5008,15.15
West,2022,15-24,Female,Group C,21234,69.64,8248,38.84
Central,2013,0-14,Male,Group B,31209,59.85,13307,42.64
North,2019,65+,Male,Group D,23385,76.46,6720,28.74
North,2022,25-44,Female,Group D,6586,56.15,17128,260.07
Central,2019,65+,Female,Group A,13231,61.45,23701,179.13
East,2022,45-64,Female,Group D,21092,65.04,36391,172.53
East,2024,65+,Female,Group C,13841,83.62,29676,214.41
East,2018,65+,Male,Group D,39935,76.92,27148,67.98
Central,2017,45-64,Male,Group B,13476,68.0,4683,34.75
North,2012,15-24,Female,Group C,17874,79.29,17681,98.92
Central,2024,65+,Female,Group A,12833,60.38,10918,85.08
Central,2023,0-14,Female,Group A,5790,87.5,15573,268.96
East,2018,65+,Female,Group D,46312,85.62,23444,50.62
South,2023,0-14,Male,Group A,46805,64.31,38403,82.05
North,2014,45-64,Female,Group B,48937,81.07,27829,56.87
East,2020,65+,Female,Group C,24086,76.64,31457,130.6
South,2012,45-64,Male,Group B,16840,57.62,18527,110.02
South,2014,45-64,Female,Group B,49223,66.96,34687,70.47
West,2022,15-24,Male,Group B,36155,97.98,5968,16.51
North,2019,65+,Female,Group B,49062,59.28,25066,51.09
South,2022,0-14,Female,Group C,15060,76.78,9366,62.19
East,2013,0-14,Male,Group C,24497,91.52,30943,126.31
West,2017,65+,Female,Group B,1840,67.93,16998,923.8
North,2022,15-24,Male,Group B,45197,66.21,9242,20.45
Central,2021,15-24,Male,Group A,26513,93.3,12169,45.9
East,2014,15-24,Male,Group A,33362,68.11,7403,22.19
South,2019,0-14,Female,Group C,22782,83.01,4841,21.25
South,2021,45-64,Female,Group A,46108,86.83,28736,62.32
East,2017,15-24,Male,Group C,19576,88.91,14574,74.45
South,2018,0-14,Female,Group C,49024,97.77,14746,30.08
West,2013,0-14,Female,Group D,41394,89.54,14302,34.55
North,2016,45-64,Female,Group C,20165,83.25,33559,166.42
West,2011,65+,Male,Group A,11423,93.5,33717,295.17
South,2015,65+,Male,Group D,40321,93.95,35187,87.27
Central,2017,15-24,Female,Group A,48440,96.85,9229,19.05
North,2021,15-24,Male,Group C,11435,88.39,11522,100.76
North,2016,45-64,Female,Group C,24541,63.38,12854,52.38
East,2016,15-24,Female,Group B,12967,85.52,10165,78.39
East,2017,45-64,Female,Group C,11573,58.23,7708,66.6
Central,2016,0-14,Male,Group D,8191,68.67,35538,433.87
North,2014,15-24,Male,Group C,47038,59.98,22332,47.48
Central,2016,0-14,Female,Group B,24990,95.85,464,1.86
East,2022,25-44,Male,Group C,16188,69.57,16225,100.23
East,2023,45-64,Female,Group C,33469,85.67,11688,34.92
North,2019,25-44,Male,Group C,14329,79.57,588,4.1
West,2012,15-24,Male,Group B,3586,59.62,2271,63.33
South,2014,0-14,Male,Group A,44573,79.14,25170,56.47
East,2016,15-24,Female,Group C,3090,83.42,14654,474.24
East,2024,25-44,Female,Group D,40393,92.91,8040,19.9
West,2018,15-24,Female,Group B,8360,58.01,29854,357.11
West,2024,65+,Male,Group D,38676,67.71,12049,31.15
Central,2011,25-44,Female,Group C,2448,84.77,20603,841.63
Central,2013,15-24,Female,Group B,37231,56.48,10631,28.55
South,2021,0-14,Female,Group C,33961,63.75,22642,66.67
South,2016,15-24,Female,Group D,26795,64.4,6830,25.49
North,2010,0-14,Male,Group B,38631,83.78,13208,34.19
Central,2022,65+,Male,Group A,45393,67.3,3059,6.74
East,2011,15-24,Female,Group A,12424,80.78,2593,20.87
Central,2018,65+,Male,Group A,39155,96.51,29344,74.94
East,2022,25-44,Male,Group C,11351,89.11,14291,125.9
West,2019,0-14,Male,Group B,8234,69.31,22655,275.14
Central,2016,25-44,Male,Group D,43181,75.31,35018,81.1
West,2021,0-14,Male,Group D,49459,63.63,3321,6.71
South,2019,65+,Female,Group C,5793,55.68,9316,160.81
South,2016,45-64,Male,Group C,47113,67.46,5171,10.98
North,2015,15-24,Female,Group D,14320,70.88,29844,208.41
Central,2012,65+,Female,Group B,2791,79.27,24279,869.9
West,2019,0-14,Female,Group C,47663,95.59,28527,59.85
East,2012,0-14,Male,Group B,12891,95.76,36322,281.76
South,2011,0-14,Male,Group D,35966,58.01,37442,104.1
South,2020,0-14,Male,Group B,44834,81.43,3597,8.02
East,2015,15-24,Male,Group A,42470,56.82,39249,92.42
West,2013,25-44,Female,Group D,47323,82.87,12612,26.65
West,2014,45-64,Female,Group A,31296,60.06,5721,18.28
Central,2012,15-24,Female,Group D,34309,95.7,29351,85.55
Central,2015,0-14,Male,Group A,18091,92.17,3672,20.3
North,2020,15-24,Female,Group B,43140,55.96,5681,13.17
South,2021,65+,Female,Group D,36889,88.63,39177,106.2
Central,2012,0-14,Female,Group D,3852,82.34,20083,521.37
West,2023,45-64,Male,Group A,18562,76.3,23579,127.03
East,2024,0-14,Female,Group B,28672,80.91,24465,85.33
West,2023,45-64,Female,Group D,11437,84.16,23856,208.59
South,2017,45-64,Male,Group C,28621,93.03,9504,33.21
West,2018,25-44,Female,Group A,15102,88.0,21280,140.91
North,2013,25-44,Male,Group D,42240,79.74,12645,29.94
South,2024,15-24,Female,Group B,23636,90.46,23057,97.55
East,2018,15-24,Male,Group B,1445,97.44,29094,2013.43
North,2021,45-64,Male,Group B,20312,67.91,38770,190.87
South,2016,0-14,Male,Group B,8473,60.09,744,8.78
East,2012,65+,Female,Group A,24052,86.45,39620,164.73
North,2016,65+,Female,Group D,14618,97.08,16252,111.18
North,2023,0-14,Male,Group A,11790,60.02,27934,236.93
South,2010,0-14,Male,Group A,25623,73.56,35596,138.92
Central,2012,25-44,Male,Group B,16883,57.68,36419,215.71
North,2015,65+,Male,Group C,10866,88.39,1636,15.06
North,2013,45-64,Male,Group B,2297,95.79,11207,487.9
East,2016,15-24,Male,Group C,26956,76.46,28541,105.88
West,2023,25-44,Male,Group A,44516,72.61,31214,70.12
South,2012,65+,Male,Group B,21927,94.03,36030,164.32
South,2010,0-14,Male,Group B,2757,60.74,7751,281.14
Central,2018,65+,Male,Group A,2697,93.34,13313,493.62
Central,2024,45-64,Male,Group B,8722,71.86,37379,428.56
South,2015,25-44,Male,Group D,25687,79.05,5041,19.62
Central,2017,0-14,Female,Group C,14652,77.72,17302,118.09
East,2012,45-64,Male,Group C,21281,81.49,38164,179.33
South,2017,15-24,Female,Group C,36180,95.51,19311,53.37
Central,2011,25-44,Female,Group B,11504,95.9,11293,98.17
South,2021,45-64,Female,Group D,42142,90.74,7746,18.38
West,2013,45-64,Male,Group B,26015,63.24,31999,123.0
North,2012,0-14,Female,Group C,15916,69.34,21784,136.87
South,2019,15-24,Male,Group B,6652,75.98,19561,294.06
North,2010,45-64,Female,Group C,7672,93.93,14684,191.4
Central,2024,25-44,Male,Group A,3685,77.4,14301,388.09
North,2022,45-64,Male,Group C,25852,97.03,36448,140.99
South,2022,65+,Female,Group A,31243,97.31,13461,43.08
West,2016,25-44,Female,Group A,31712,80.74,13409,42.28
Central,2020,25-44,Male,Group A,27118,92.73,28847,106.38
South,2019,45-64,Female,Group C,9661,97.97,8421,87.16
Central,2011,0-14,Male,Group D,49033,91.54,20077,40.95
East,2013,25-44,Male,Group C,17967,83.25,25757,143.36
North,2018,65+,Male,Group B,22089,91.34,33198,150.29
East,2015,0-14,Female,Group B,38130,58.55,7726,20.26
South,2017,0-14,Male,Group D,3570,82.3,38249,1071.4
West,2011,0-14,Male,Group D,45208,64.31,1451,3.21
Central,2016,25-44,Male,Group D,9063,59.99,32788,361.78
North,2015,0-14,Male,Group A,25754,93.39,7089,27.53
Central,2022,45-64,Female,Group D,48199,82.5,28966,60.1
South,2023,0-14,Female,Group D,17085,65.47,29346,171.76
Central,2018,65+,Female,Group D,30797,71.63,34746,112.82
North,2016,15-24,Female,Group C,49740,96.85,8252,16.59
South,2010,65+,Male,Group B,15272,92.07,32748,214.43
Central,2023,25-44,Male,Group B,14955,55.67,37838,253.01
West,2017,0-14,Male,Group D,6799,97.13,1347,19.81
South,2020,0-14,Male,Group B,10688,70.85,3047,28.51
South,2019,45-64,Male,Group C,45954,84.9,20434,44.47
West,2024,0-14,Male,Group B,47279,85.65,19654,41.57
East,2012,65+,Female,Group A,25263,94.2,33588,132.95
North,2023,25-44,Male,Group C,33017,93.06,33931,102.77
East,2011,15-24,Male,Group B,22055,67.11,26276,119.14
Central,2021,0-14,Male,Group B,29823,82.67,30952,103.79
West,2012,15-24,Female,Group C,18438,71.93,16203,87.88
East,2020,0-14,Male,Group B,22483,77.6,7618,33.88
South,2015,25-44,Male,Group B,13374,78.85,17910,133.92
Central,2022,65+,Male,Group D,25305,72.04,321,1.27
Central,2023,25-44,Female,Group A,46709,74.95,37281,79.82
East,2012,15-24,Male,Group C,33322,63.96,27973,83.95
East,2019,0-14,Male,Group D,21250,81.13,17766,83.6
West,2014,15-24,Female,Group B,37299,87.64,33762,90.52
North,2015,65+,Male,Group C,42583,73.48,20855,48.97
East,2017,25-44,Female,Group C,28446,97.04,8683,30.52
East,2016,15-24,Male,Group A,2052,57.46,32888,1602.73
South,2023,15-24,Female,Group A,30549,80.33,25409,83.17
Central,2020,65+,Male,Group C,8295,80.09,18756,226.11
North,2017,0-14,Male,Group A,5771,56.56,28162,487.99
South,2012,15-24,Female,Group A,15165,64.66,15838,104.44
West,2013,65+,Male,Group B,615,93.94,38954,6333.98
West,2015,0-14,Male,Group A,36881,78.41,36875,99.98
East,2020,0-14,Female,Group A,29494,73.76,21283,72.16
East,2016,25-44,Male,Group D,27686,72.87,7281,26.3
West,2018,65+,Female,Group B,30767,93.19,13553,44.05
East,2022,0-14,Male,Group B,39640,70.78,20052,50.59
North,2010,25-44,Female,Group C,49398,91.94,5960,12.07
East,2022,45-64,Male,Group A,25435,68.3,13971,54.93
Central,2024,65+,Male,Group D,32248,77.85,690,2.14
East,2017,45-64,Female,Group D,25103,61.18,4463,17.78
South,2017,0-14,Male,Group B,4337,90.48,7969,183.74
North,2015,65+,Female,Group A,36801,86.65,25534,69.38
South,2013,25-44,Female,Group D,10110,77.79,17781,175.88
South,2012,0-14,Female,Group C,29115,56.11,32949,113.17
Central,2020,65+,Male,Group A,11608,75.69,11835,101.96
North,2012,65+,Male,Group A,39099,64.68,2104,5.38
North,2015,45-64,Male,Group A,22847,72.78,5469,23.94
North,2022,0-14,Female,Group D,34562,91.83,31168,90.18
North,2017,25-44,Female,Group B,48931,88.09,1850,3.78
North,2016,25-44,Female,Group B,8050,65.4,12667,157.35
Central,2020,0-14,Male,Group C,28705,97.35,36159,125.97
East,2010,0-14,Female,Group D,18959,93.84,32995,174.03
South,2020,15-24,Male,Group A,47098,77.73,22844,48.5
North,2015,45-64,Male,Group C,46299,77.8,35718,77.15
East,2016,0-14,Male,Group C,24250,93.75,27480,113.32
East,2021,0-14,Male,Group B,45137,82.35,3079,6.82
South,2016,15-24,Male,Group A,28229,78.08,4557,16.14
Central,2018,15-24,Male,Group A,39085,87.21,28501,72.92
West,2020,65+,Male,Group D,18662,65.11,11065,59.29
West,2020,25-44,Male,Group D,46135,92.77,3032,6.57
East,2019,45-64,Female,Group D,45354,77.85,36077,79.55
South,2014,65+,Male,Group C,11190,80.95,29068,259.77
West,2010,0-14,Male,Group A,29604,58.87,31603,106.75
East,2011,15-24,Female,Group B,17257,68.31,5958,34.53
Central,2024,25-44,Female,Group C,15270,73.35,3121,20.44
West,2013,65+,Female,Group C,47597,72.8,34401,72.28
East,2014,25-44,Female,Group B,10957,88.47,4628,42.24
East,2018,15-24,Male,Group B,43302,67.14,8311,19.19
North,2020,65+,Female,Group D,18457,62.83,23447,127.04
Central,2024,65+,Female,Group B,30119,80.05,30647,101.75
North,2010,25-44,Female,Group B,21328,81.45,12566,58.92
South,2012,15-24,Female,Group B,17671,60.23,30764,174.09
North,2014,0-14,Male,Group B,34813,55.11,10175,29.23
North,2012,65+,Female,Group D,46627,94.46,2842,6.1
West,2013,0-14,Female,Group C,13646,58.42,14049,102.95
East,2024,15-24,Female,Group A,46766,93.61,36679,78.43
Central,2023,65+,Female,Group A,46439,72.17,19544,42.09
North,2012,65+,Male,Group C,14702,83.08,21414,145.65
Central,2013,0-14,Female,Group A,37642,62.98,38426,102.08
North,2023,45-64,Female,Group A,22331,90.43,26355,118.02
South,2024,0-14,Female,Group C,10349,62.75,22722,219.56
North,2022,0-14,Male,Group A,20939,71.62,6880,32.86
West,2022,45-64,Female,Group A,17490,65.24,12707,72.65
East,2024,15-24,Female,Group C,13836,91.01,9619,69.52
South,2024,15-24,Male,Group A,35844,91.91,38953,108.67
North,2010,65+,Female,Group B,23453,71.0,22759,97.04
Central,2021,25-44,Male,Group C,5551,68.22,3360,60.53
South,2017,25-44,Male,Group D,49974,88.26,8072,16.15
South,2013,65+,Female,Group A,10568,92.78,8039,76.07
North,2016,25-44,Female,Group D,17467,81.83,15852,90.75
South,2011,0-14,Male,Group A,22273,94.88,7059,31.69
Central,2011,0-14,Male,Group B,44269,71.47,33720,76.17
South,2015,45-64,Female,Group C,31514,61.53,13504,42.85
Central,2023,45-64,Male,Group D,9347,62.72,4180,44.72
North,2011,65+,Male,Group C,5381,83.8,39293,730.22
East,2024,65+,Female,Group D,41682,72.52,625,1.5
South,2024,65+,Male,Group A,8199,61.72,8341,101.73
East,2015,0-14,Male,Group B,24680,67.57,10257,41.56
Central,2020,25-44,Male,Group D,49313,77.82,32003,64.9
South,2024,65+,Male,Group D,38391,60.22,4306,11.22
West,2011,65+,Male,Group B,49479,55.15,20287,41.0
East,2013,0-14,Male,Group B,4050,94.44,1608,39.7
South,2016,0-14,Female,Group B,22663,68.11,20065,88.54
East,2017,0-14,Male,Group B,43902,64.52,38789,88.35
South,2024,25-44,Female,Group B,30175,85.03,39812,131.94
North,2012,65+,Female,Group C,45445,91.7,39363,86.62
East,2023,15-24,Female,Group A,33434,82.19,16043,47.98
West,2024,15-24,Female,Group A,27092,65.94,28677,105.85
West,2022,65+,Female,Group D,41577,92.05,32657,78.55
Central,2018,65+,Female,Group B,23539,76.95,27530,116.95
South,2011,65+,Female,Group C,43269,71.39,29411,67.97
East,2017,65+,Female,Group C,24226,81.0,37769,155.9
Central,2017,25-44,Male,Group D,35474,85.13,32867,92.65
East,2022,15-24,Female,Group B,34518,80.53,1958,5.67
South,2023,45-64,Female,Group A,5058,94.57,38748,766.07
West,2013,15-24,Female,Group B,32674,82.0,29369,89.88
North,2010,15-24,Male,Group C,30905,92.78,11460,37.08
West,2022,0-14,Female,Group B,43131,80.24,32550,75.47
Central,2010,65+,Male,Group A,2651,69.18,32878,1240.21
North,2011,65+,Female,Group A,38345,77.89,18110,47.23
Central,2023,65+,Female,Group D,16052,58.71,1040,6.48
South,2024,0-14,Male,Group C,35565,64.9,17925,50.4
North,2021,25-44,Female,Group B,42496,87.95,12499,29.41
Central,2023,25-44,Male,Group B,3114,83.44,30189,969.46
South,2018,45-64,Male,Group D,35147,62.16,24705,70.29
West,2022,25-44,Female,Group D,1120,73.83,5759,514.2
South,2011,25-44,Female,Group D,23582,61.11,38894,164.93
East,2011,65+,Male,Group C,22391,91.8,32797,146.47
South,2015,15-24,Male,Group B,41530,59.69,8907,21.45
South,2016,25-44,Female,Group D,32814,83.13,28219,86.0
East,2022,25-44,Female,Group C,24000,81.1,23041,96.0
Central,2016,0-14,Female,Group B,35193,75.33,19840,56.37
Central,2024,45-64,Male,Group A,28518,66.96,35562,124.7
South,2022,0-14,Female,Group D,20067,72.37,36624,182.51
East,2018,65+,Male,Group C,26478,89.67,32826,123.97
East,2015,15-24,Female,Group B,11053,87.75,9940,89.93
West,2023,45-64,Male,Group B,10130,86.77,3355,33.12
Central,2017,0-14,Male,Group D,12503,87.24,23772,190.13
North,2020,25-44,Female,Group D,41944,61.19,1178,2.81
Central,2015,25-44,Male,Group B,21148,59.26,10697,50.58
Central,2011,45-64,Male,Group C,32107,92.04,19631,61.14
West,2010,25-44,Male,Group A,38166,91.0,35557,93.16
North,2014,0-14,Male,Group B,25321,84.3,23367,92.28
West,2023,0-14,Male,Group C,15101,81.05,6142,40.67
North,2018,25-44,Female,Group D,46404,70.78,19183,41.34
South,2017,25-44,Female,Group B,47846,64.64,35476,74.15
North,2023,65+,Male,Group D,6621,83.71,17777,268.49
West,2022,15-24,Female,Group A,39057,94.26,6115,15.66
Central,2013,45-64,Male,Group D,16810,73.79,26533,157.84
North,2014,0-14,Male,Group A,22598,68.04,2245,9.93
North,2022,45-64,Female,Group D,46402,66.64,24380,52.54
East,2014,65+,Male,Group D,24031,56.02,9764,40.63
Central,2015,0-14,Male,Group A,39753,77.37,11305,28.44
South,2012,65+,Male,Group D,10480,97.49,20256,193.28
West,2014,65+,Female,Group C,36893,90.06,32335,87.65
South,2011,25-44,Female,Group D,44780,93.59,33012,73.72
Central,2019,45-64,Male,Group B,9451,81.71,4711,49.85
North,2010,45-64,Male,Group D,8617,75.7,22972,266.59
North,2020,25-44,Male,Group C,26479,97.59,15621,58.99
Central,2010,45-64,Male,Group B,9489,74.23,27316,287.87
North,2019,25-44,Male,Group C,17415,94.42,7975,45.79
North,2016,0-14,Female,Group B,30035,87.76,27146,90.38
North,2011,65+,Female,Group D,32624,69.23,10907,33.43
West,2013,65+,Female,Group C,44876,76.63,13572,30.24
West,2014,45-64,Female,Group D,33866,71.53,30014,88.63
East,2016,15-24,Male,Group B,7928,60.86,22807,287.68
South,2011,65+,Male,Group C,25381,70.34,28157,110.94
Central,2023,25-44,Female,Group A,5404,93.23,30478,563.99
Central,2015,15-24,Female,Group C,36177,87.36,8416,23.26
Central,2010,15-24,Male,Group D,46819,66.94,10206,21.8
East,2016,65+,Female,Group A,9422,70.82,34193,362.91
West,2018,65+,Male,Group A,31660,81.51,34216,108.07
East,2014,65+,Male,Group B,2525,72.89,25554,1012.04
Central,2014,25-44,Male,Group A,13720,76.63,19426,141.59
South,2013,15-24,Female,Group A,46458,85.02,38666,83.23
North,2012,45-64,Female,Group B,3266,75.09,18166,556.22
West,2018,25-44,Female,Group C,18982,63.21,5048,26.59
West,2014,0-14,Female,Group D,33659,77.38,11983,35.6
East,2017,65+,Female,Group C,11435,70.31,36106,315.75
West,2018,15-24,Male,Group A,4284,67.5,11124,259.66
Central,2014,25-44,Female,Group D,23550,69.11,4842,20.56
Central,2019,0-14,Male,Group C,20721,73.88,5396,26.04
East,2018,25-44,Male,Group D,29679,93.12,11355,38.26
Central,2011,25-44,Male,Group A,18569,86.56,12255,66.0
South,2018,45-64,Female,Group C,36182,83.72,20352,56.25
East,2020,45-64,Female,Group D,26494,75.26,39166,147.83
South,2013,25-44,Female,Group D,46511,55.08,8272,17.79
North,2015,0-14,Female,Group C,29267,69.64,16165,55.23
South,2015,15-24,Female,Group C,12782,89.97,32190,251.84
North,2015,15-24,Female,Group A,20610,71.69,22142,107.43
North,2011,65+,Female,Group B,46233,79.24,27043,58.49
South,2016,65+,Female,Group D,31732,63.8,5690,17.93
East,2022,15-24,Male,Group C,44773,94.38,21919,48.96
Central,2015,25-44,Female,Group C,5451,94.7,38884,713.34
Central,2020,25-44,Male,Group C,8155,61.28,19094,234.14
North,2023,45-64,Male,Group D,29961,86.14,31037,103.59
North,2010,45-64,Male,Group A,5110,58.24,1946,38.08
East,2011,65+,Male,Group B,32117,80.74,25271,78.68
West,2016,15-24,Female,Group D,17968,62.68,8370,46.58
South,2010,25-44,Female,Group A,8083,61.27,33601,415.7
North,2024,15-24,Male,Group D,26083,55.18,13089,50.18
Central,2010,0-14,Male,Group D,18201,95.46,19304,106.06
East,2010,15-24,Male,Group C,7380,90.66,15340,207.86
South,2017,0-14,Female,Group A,35617,58.33,27936,78.43
East,2013,45-64,Male,Group C,24221,80.77,8352,34.48
South,2013,45-64,Male,Group C,40476,65.01,19941,49.27
South,2022,65+,Female,Group A,27354,66.35,37360,136.58
North,2011,15-24,Male,Group C,46988,92.59,38347,81.61
East,2020,15-24,Female,Group C,7381,59.92,22554,305.57
East,2020,0-14,Female,Group B,4222,80.86,8866,210.0
Central,2020,45-64,Male,Group A,20577,72.25,28603,139.0
Central,2010,0-14,Male,Group A,15832,63.2,34926,220.6
North,2021,45-64,Male,Group C,40492,74.43,39647,97.91
North,2019,0-14,Female,Group C,13729,95.44,6084,44.31
West,2018,45-64,Female,Group A,8302,88.61,12512,150.71
Central,2016,0-14,Female,Group A,22601,60.68,20198,89.37
South,2013,45-64,Male,Group D,11939,91.53,4020,33.67
East,2021,0-14,Male,Group A,36402,95.31,4522,12.42
North,2015,15-24,Male,Group D,3098,66.91,38435,1240.64
East,2023,65+,Male,Group C,27261,69.34,38470,141.12
East,2011,0-14,Male,Group B,4552,60.43,39417,865.93
West,2016,65+,Male,Group B,13241,69.83,25123,189.74
Central,2011,15-24,Female,Group D,4324,83.95,23142,535.2
North,2019,15-24,Female,Group C,36788,66.7,33950,92.29
East,2017,45-64,Female,Group C,1749,55.29,32533,1860.09
North,2017,65+,Male,Group C,23470,69.56,23112,98.47
South,2010,25-44,Female,Group A,16065,74.49,22183,138.08
West,2022,45-64,Female,Group C,18958,79.35,22274,117.49
South,2017,65+,Female,Group A,46265,84.4,6105,13.2
North,2011,0-14,Male,Group D,2514,57.66,25228,1003.5
North,2015,0-14,Male,Group B,5444,75.2,4273,78.49
Central,2022,15-24,Female,Group D,34216,66.45,2434,7.11
East,2010,25-44,Male,Group C,49758,95.76,15473,31.1
East,2014,0-14,Male,Group C,43951,70.48,7831,17.82
South,2020,65+,Male,Group D,14512,59.31,12261,84.49
West,2016,65+,Male,Group A,37960,56.78,24018,63.27
East,2022,0-14,Female,Group A,3740,66.41,23904,639.14
Central,2019,65+,Male,Group A,43030,62.69,29562,68.7
South,2010,65+,Female,Group B,14231,82.94,11050,77.65
South,2024,15-24,Female,Group B,18518,91.42,30838,166.53
Central,2011,25-44,Male,Group C,43398,68.44,17119,39.45
West,2016,15-24,Male,Group D,18416,79.85,24084,130.78
Central,2015,25-44,Male,Group D,40876,86.4,31680,77.5
West,2012,65+,Female,Group C,28104,72.13,30897,109.94
Central,2023,25-44,Female,Group A,45677,57.85,18284,40.03
Central,2019,65+,Female,Group B,20530,64.85,30501,148.57
North,2011,65+,Female,Group D,12089,92.97,7314,60.5
South,2019,15-24,Female,Group C,22483,90.45,30750,136.77
Central,2013,15-24,Female,Group A,12937,58.72,7669,59.28
Central,2012,45-64,Female,Group A,28118,64.63,6692,23.8
East,2016,0-14,Male,Group B,10205,88.07,37312,365.62
South,2017,45-64,Female,Group B,23180,75.89,2171,9.37
East,2011,45-64,Female,Group C,15876,87.68,9844,62.01
South,2019,25-44,Female,Group C,25920,64.08,26369,101.73
East,2016,65+,Female,Group A,44879,95.97,17296,38.54
Central,2017,65+,Male,Group A,40858,88.7,36623,89.63
Central,2015,65+,Female,Group D,39833,63.49,12734,31.97
North,2015,0-14,Female,Group A,2335,79.01,12968,555.37
East,2019,25-44,Male,Group C,21783,59.86,22825,104.78
West,2010,25-44,Male,Group B,43065,70.54,39440,91.58
North,2013,65+,Female,Group C,36463,83.36,28860,79.15
East,2023,45-64,Female,Group D,47136,69.2,24344,51.65
East,2010,0-14,Female,Group D,9679,83.24,9840,101.66
North,2013,45-64,Female,Group B,29404,65.53,20232,68.81
Central,2011,15-24,Female,Group C,41613,86.01,38092,91.54
East,2020,25-44,Female,Group D,34174,70.46,26789,78.39
Central,2022,25-44,Male,Group C,12455,88.99,8850,71.06
North,2014,45-64,Male,Group D,49036,60.88,3043,6.21
Central,2019,0-14,Female,Group B,7698,70.57,24557,319.0
South,2023,25-44,Female,Group D,2120,74.95,17176,810.19
West,2018,45-64,Female,Group C,45088,73.23,697,1.55
East,2020,0-14,Male,Group C,12266,73.62,2334,19.03
West,2024,45-64,Female,Group D,31590,74.13,19033,60.25
Central,2021,0-14,Male,Group A,41791,97.52,5612,13.43
East,2019,65+,Male,Group B,4838,63.31,32866,679.33
Central,2012,0-14,Female,Group B,49179,88.05,4492,9.13
South,2017,15-24,Male,Group D,5801,78.73,27587,475.56
North,2012,65+,Female,Group D,15644,72.79,32026,204.72
East,2015,45-64,Male,Group A,14284,82.24,226,1.58
South,2013,65+,Female,Group B,2923,91.7,12308,421.07
South,2017,65+,Female,Group A,8772,75.07,14670,167.24
East,2020,45-64,Male,Group B,2073,92.19,29985,1446.45
Central,2015,45-64,Male,Group D,24919,59.03,2453,9.84
South,2017,15-24,Male,Group B,17303,83.08,20226,116.89
West,2010,45-64,Female,Group B,33734,69.33,29474,87.37
South,2015,25-44,Male,Group B,49055,71.63,1286,2.62
Central,2010,25-44,Male,Group A,5676,79.55,24606,433.51
Central,2010,15-24,Female,Group A,36661,75.64,34983,95.42
West,2017,0-14,Female,Group B,43025,71.42,21651,50.32
South,2024,0-14,Male,Group C,15664,68.26,10107,64.52
Central,2016,25-44,Male,Group A,12722,81.59,7323,57.56
East,2012,45-64,Male,Group D,25879,76.74,26502,102.41
North,2015,15-24,Female,Group D,26153,68.9,7284,27.85
North,2024,0-14,Female,Group B,18516,63.81,20047,108.27
North,2018,0-14,Male,Group D,18868,88.3,23005,121.93
South,2016,65+,Female,Group A,24005,89.39,14448,60.19
West,2021,25-44,Male,Group C,33271,64.19,4667,14.03
Central,2012,45-64,Male,Group C,40745,66.25,25584,62.79
East,2023,15-24,Female,Group C,39266,65.28,3096,7.88
East,2023,0-14,Male,Group D,33870,93.04,10562,31.18
South,2022,65+,Male,Group B,7756,88.29,19712,254.15
North,2015,25-44,Female,Group D,43827,58.21,20839,47.55
South,2020,25-44,Male,Group B,46954,90.8,17918,38.16
West,2013,15-24,Male,Group C,28751,56.58,25293,87.97
West,2023,0-14,Female,Group A,47241,65.89,23662,50.09
Central,2022,15-24,Male,Group D,32477,94.52,17872,55.03
Central,2012,15-24,Male,Group A,33164,92.17,9137,27.55
West,2018,65+,Female,Group C,7214,88.6,28743,398.43
West,2019,25-44,Female,Group B,41644,74.67,22231,53.38
West,2011,45-64,Female,Group A,12201,68.82,38896,318.79
South,2010,25-44,Male,Group D,15391,92.91,17281,112.28
West,2024,25-44,Female,Group A,36519,83.25,11426,31.29
East,2023,65+,Male,Group A,28016,67.71,17058,60.89
North,2011,45-64,Female,Group D,41412,74.92,30532,73.73
West,2016,0-14,Male,Group B,49706,92.9,39500,79.47
North,2019,45-64,Male,Group D,10416,93.85,25313,243.02
South,2010,0-14,Female,Group C,3410,83.35,22216,651.5
North,2015,45-64,Male,Group B,18754,86.5,5584,29.77
South,2023,15-24,Male,Group A,44750,56.69,17950,40.11
East,2016,45-64,Female,Group D,36616,81.0,17645,48.19
South,2018,65+,Male,Group C,18485,84.63,29104,157.45
South,2024,0-14,Male,Group D,22651,55.88,35275,155.73
Central,2023,25-44,Male,Group B,6330,91.29,16891,266.84
West,2017,65+,Female,Group C,44797,94.92,29274,65.35
West,2015,0-14,Female,Group A,41388,65.23,9388,22.68
East,2012,0-14,Female,Group B,18974,91.37,26060,137.35
East,2017,25-44,Female,Group C,5980,83.62,30371,507.88
West,2016,15-24,Female,Group B,9943,79.97,29621,297.91
Central,2012,65+,Female,Group A,39638,91.25,32190,81.21
